country,date,new_cases_smoothed,zscore,is_anomaly
Australia,2020-01-10,0.0,-0.574,
Australia,2020-01-11,0.0,-0.574,
Australia,2020-01-12,0.0,-0.574,
Australia,2020-01-13,0.0,-0.574,
Australia,2020-01-14,0.0,-0.574,
Australia,2020-01-15,0.0,-0.574,
Australia,2020-01-16,0.0,-0.574,
Australia,2020-01-17,0.0,-0.574,
Australia,2020-01-18,0.0,-0.574,
Australia,2020-01-19,0.0,-0.574,
Australia,2020-01-20,0.0,-0.574,
Australia,2020-01-21,0.0,-0.574,
Australia,2020-01-22,0.0,-0.574,
Australia,2020-01-23,0.0,-0.574,
Australia,2020-01-24,0.0,-0.574,
Australia,2020-01-25,0.0,-0.574,
Australia,2020-01-26,0.6,-0.574,
Australia,2020-01-27,0.6,-0.574,
Australia,2020-01-28,0.6,-0.574,
Australia,2020-01-29,0.6,-0.574,
Australia,2020-01-30,0.6,-0.574,
Australia,2020-01-31,0.6,-0.574,
Australia,2020-02-01,0.6,-0.574,
Australia,2020-02-02,1.1,-0.574,
Australia,2020-02-03,1.1,-0.574,
Australia,2020-02-04,1.1,-0.574,
Australia,2020-02-05,1.1,-0.574,
Australia,2020-02-06,1.1,-0.574,
Australia,2020-02-07,1.1,-0.574,
Australia,2020-02-08,1.1,-0.574,
Australia,2020-02-09,0.4,-0.574,
Australia,2020-02-10,0.4,-0.574,
Australia,2020-02-11,0.4,-0.574,
Australia,2020-02-12,0.4,-0.574,
Australia,2020-02-13,0.4,-0.574,
Australia,2020-02-14,0.4,-0.574,
Australia,2020-02-15,0.4,-0.574,
Australia,2020-02-16,0.0,-0.574,
Australia,2020-02-17,0.0,-0.574,
Australia,2020-02-18,0.0,-0.574,
Australia,2020-02-19,0.0,-0.574,
Australia,2020-02-20,0.0,-0.574,
Australia,2020-02-21,0.0,-0.574,
Australia,2020-02-22,0.0,-0.574,
Australia,2020-02-23,1.0,-0.574,
Australia,2020-02-24,1.0,-0.574,
Australia,2020-02-25,1.0,-0.574,
Australia,2020-02-26,1.0,-0.574,
Australia,2020-02-27,1.0,-0.574,
Australia,2020-02-28,1.0,-0.574,
Australia,2020-02-29,1.0,-0.574,
Australia,2020-03-01,0.4,-0.574,
Australia,2020-03-02,0.4,-0.574,
Australia,2020-03-03,0.4,-0.574,
Australia,2020-03-04,0.4,-0.574,
Australia,2020-03-05,0.4,-0.574,
Australia,2020-03-06,0.4,-0.574,
Australia,2020-03-07,0.4,-0.574,
Australia,2020-03-08,6.4,-0.573,
Australia,2020-03-09,6.4,-0.573,
Australia,2020-03-10,6.4,-0.573,
Australia,2020-03-11,6.4,-0.573,
Australia,2020-03-12,6.4,-0.573,
Australia,2020-03-13,6.4,-0.573,
Australia,2020-03-14,6.4,-0.573,
Australia,2020-03-15,25.6,-0.572,
Australia,2020-03-16,25.6,-0.572,
Australia,2020-03-17,25.6,-0.572,
Australia,2020-03-18,25.6,-0.572,
Australia,2020-03-19,25.6,-0.572,
Australia,2020-03-20,25.6,-0.572,
Australia,2020-03-21,25.6,-0.572,
Australia,2020-03-22,118.9,-0.566,
Australia,2020-03-23,118.9,-0.566,
Australia,2020-03-24,118.9,-0.566,
Australia,2020-03-25,118.9,-0.566,
Australia,2020-03-26,118.9,-0.566,
Australia,2020-03-27,118.9,-0.566,
Australia,2020-03-28,118.9,-0.566,
Australia,2020-03-29,389.7,-0.55,
Australia,2020-03-30,389.7,-0.55,
Australia,2020-03-31,389.7,-0.55,
Australia,2020-04-01,389.7,-0.55,
Australia,2020-04-02,389.7,-0.55,
Australia,2020-04-03,389.7,-0.55,
Australia,2020-04-04,389.7,-0.55,
Australia,2020-04-05,260.9,-0.558,
Australia,2020-04-06,260.9,-0.558,
Australia,2020-04-07,260.9,-0.558,
Australia,2020-04-08,260.9,-0.558,
Australia,2020-04-09,260.9,-0.558,
Australia,2020-04-10,260.9,-0.558,
Australia,2020-04-11,260.9,-0.558,
Australia,2020-04-12,93.4,-0.568,
Australia,2020-04-13,93.4,-0.568,
Australia,2020-04-14,93.4,-0.568,
Australia,2020-04-15,93.4,-0.568,
Australia,2020-04-16,93.4,-0.568,
Australia,2020-04-17,93.4,-0.568,
Australia,2020-04-18,93.4,-0.568,
Australia,2020-04-19,42.4,-0.571,
Australia,2020-04-20,42.4,-0.571,
Australia,2020-04-21,42.4,-0.571,
Australia,2020-04-22,42.4,-0.571,
Australia,2020-04-23,42.4,-0.571,
Australia,2020-04-24,42.4,-0.571,
Australia,2020-04-25,42.4,-0.571,
Australia,2020-04-26,16.7,-0.573,
Australia,2020-04-27,16.7,-0.573,
Australia,2020-04-28,16.7,-0.573,
Australia,2020-04-29,16.7,-0.573,
Australia,2020-04-30,16.7,-0.573,
Australia,2020-05-01,16.7,-0.573,
Australia,2020-05-02,16.7,-0.573,
Australia,2020-05-03,11.4,-0.573,
Australia,2020-05-04,11.4,-0.573,
Australia,2020-05-05,11.4,-0.573,
Australia,2020-05-06,11.4,-0.573,
Australia,2020-05-07,11.4,-0.573,
Australia,2020-05-08,11.4,-0.573,
Australia,2020-05-09,11.4,-0.573,
Australia,2020-05-10,20.9,-0.572,
Australia,2020-05-11,20.9,-0.572,
Australia,2020-05-12,20.9,-0.572,
Australia,2020-05-13,20.9,-0.572,
Australia,2020-05-14,20.9,-0.572,
Australia,2020-05-15,20.9,-0.572,
Australia,2020-05-16,20.9,-0.572,
Australia,2020-05-17,15.3,-0.573,
Australia,2020-05-18,15.3,-0.573,
Australia,2020-05-19,15.3,-0.573,
Australia,2020-05-20,15.3,-0.573,
Australia,2020-05-21,15.3,-0.573,
Australia,2020-05-22,15.3,-0.573,
Australia,2020-05-23,15.3,-0.573,
Australia,2020-05-24,10.0,-0.573,
Australia,2020-05-25,10.0,-0.573,
Australia,2020-05-26,10.0,-0.573,
Australia,2020-05-27,10.0,-0.573,
Australia,2020-05-28,10.0,-0.573,
Australia,2020-05-29,10.0,-0.573,
Australia,2020-05-30,10.0,-0.573,
Australia,2020-05-31,11.3,-0.573,
Australia,2020-06-01,11.3,-0.573,
Australia,2020-06-02,11.3,-0.573,
