country,continent,month,cases_in_month,deaths_shifted_back14d,cfr_pct,deaths_per_M
Australia,Oceania,2019-12-01,0,0,,0.0
Australia,Oceania,2020-01-01,4,0,0.0,0.0
Australia,Oceania,2020-02-01,18,4,22.222,0.153
Australia,Oceania,2020-03-01,3787,57,1.505,2.177
Australia,Oceania,2020-04-01,2894,40,1.382,1.528
Australia,Oceania,2020-05-01,482,6,1.245,0.229
Australia,Oceania,2020-06-01,456,6,1.316,0.229
Australia,Oceania,2020-07-01,6309,262,4.153,10.009
Australia,Oceania,2020-08-01,11597,453,3.906,17.305
Australia,Oceania,2020-09-01,1469,83,5.65,3.171
Australia,Oceania,2020-10-01,483,3,0.621,0.115
Australia,Oceania,2020-11-01,386,5,1.295,0.191
Australia,Oceania,2020-12-01,411,3,0.73,0.115
Australia,Oceania,2021-01-01,515,1,0.194,0.038
Australia,Oceania,2021-02-01,159,2,1.258,0.076
Australia,Oceania,2021-03-01,290,1,0.345,0.038
Australia,Oceania,2021-04-01,406,2,0.493,0.076
Australia,Oceania,2021-05-01,432,0,0.0,0.0
Australia,Oceania,2021-06-01,737,2,0.271,0.076
Australia,Oceania,2021-07-01,2960,33,1.115,1.261
Australia,Oceania,2021-08-01,21866,177,0.809,6.762
Australia,Oceania,2021-09-01,48489,401,0.827,15.319
Australia,Oceania,2021-10-01,69834,488,0.699,18.642
Australia,Oceania,2021-11-01,37441,225,0.601,8.595
Australia,Oceania,2021-12-01,155182,445,0.287,16.999
Australia,Oceania,2022-01-01,1956529,2787,0.142,106.466
Australia,Oceania,2022-02-01,693697,857,0.124,32.738
Australia,Oceania,2022-03-01,1150567,686,0.06,26.206
Australia,Oceania,2022-04-01,1351213,1175,0.087,44.886
Australia,Oceania,2022-05-01,1478635,1706,0.115,65.171
Australia,Oceania,2022-06-01,779787,1412,0.181,53.94
Australia,Oceania,2022-07-01,1138110,2805,0.246,107.153
Australia,Oceania,2022-08-01,702093,1158,0.165,44.237
Australia,Oceania,2022-09-01,238051,546,0.229,20.858
Australia,Oceania,2022-10-01,167562,489,0.292,18.68
Australia,Oceania,2022-11-01,245053,863,0.352,32.967
Australia,Oceania,2022-12-01,426137,1727,0.405,65.973
Australia,Oceania,2023-01-01,277460,1257,0.453,48.019
Australia,Oceania,2023-02-01,71730,335,0.467,12.797
Australia,Oceania,2023-03-01,82737,407,0.492,15.548
Australia,Oceania,2023-04-01,139623,432,0.309,16.503
Australia,Oceania,2023-05-01,0,0,,0.0
Brazil,South America,2019-12-01,0,0,,0.0
Brazil,South America,2020-01-01,0,0,,0.0
Brazil,South America,2020-02-01,0,0,,0.0
Brazil,South America,2020-03-01,3417,1056,30.904,4.904
Brazil,South America,2020-04-01,49578,8841,17.833,41.061
Brazil,South America,2020-05-01,412171,31931,7.747,148.3
Brazil,South America,2020-06-01,809808,28570,3.528,132.69
Brazil,South America,2020-07-01,1068392,29174,2.731,135.495
Brazil,South America,2020-08-01,1461437,30824,2.109,143.159
Brazil,South America,2020-09-01,884810,19243,2.175,89.372
Brazil,South America,2020-10-01,664043,12376,1.864,57.479
Brazil,South America,2020-11-01,884694,18422,2.082,85.559
Brazil,South America,2020-12-01,1210210,21023,1.737,97.639
