country,continent,population_M,total_cases,total_deaths,cases_per_M,deaths_per_M,vax_fully_pct,boosters_pct,stringency_mean,gdp_per_capita,aged_65_older,hdi,life_expectancy,gjname
United Kingdom,Europe,67.51,24587399,226745,364209.5,3358.7,75.19,59.81,43.2,39753.24,18.52,0.93,81.32,England
United States,North America,338.29,103266404,1124063,305260.1,3322.8,69.46,40.08,48.6,54225.45,15.41,0.93,78.86,USA
Brazil,South America,215.31,37449418,701494,173929.7,3258.0,81.82,58.7,48.7,14103.45,8.55,0.76,75.88,Brazil
Italy,Europe,59.04,25795509,189786,436934.5,3214.7,81.21,80.86,52.5,35220.08,23.02,0.89,83.51,Italy
Mexico,North America,127.5,7592878,334034,59550.1,2619.8,64.19,44.73,44.0,17336.47,6.86,0.78,75.05,Mexico
France,Europe,67.81,38842584,166958,572789.6,2462.0,78.43,70.3,42.4,38605.67,19.72,0.9,82.66,France
Sweden,Europe,10.55,2706119,24102,256520.0,2284.7,71.98,93.24,36.8,46949.28,19.98,0.94,82.8,Sweden
Germany,Europe,83.37,38405257,174406,460661.3,2092.0,76.24,77.72,44.2,45229.24,21.45,0.95,81.33,Germany
South Africa,Africa,59.89,4072533,102595,67995.8,1712.9,35.13,7.31,44.0,12294.88,5.34,0.71,64.13,South Africa
Israel,Asia,9.45,4821809,12499,510298.3,1322.8,65.19,61.03,43.4,33132.32,11.73,0.92,82.97,Israel
Australia,Oceania,26.18,11265591,21341,430355.4,815.2,82.7,75.6,47.4,44648.71,15.5,0.94,83.44,Australia
South Korea,Asia,51.82,31170886,34487,601571.0,665.6,85.63,79.76,40.9,35938.37,13.91,0.92,83.03,South Korea
Japan,Asia,123.95,33714017,74542,271993.2,601.4,83.4,141.71,40.5,39002.22,27.05,0.92,84.63,Japan
India,Asia,1417.17,44945389,531533,31714.8,375.1,67.17,16.04,58.1,6426.67,5.99,0.64,69.66,India
China,Asia,1425.89,99247381,120961,69603.9,84.8,89.54,57.99,73.6,15308.71,10.64,0.76,76.91,China
