country,date,actual,trend,seasonal,residual
India,2020-01-10,0.0,0.0,-13.65,13.65
India,2020-01-11,0.0,0.0,-17.11,17.11
India,2020-01-12,0.0,0.0,16.42,-16.42
India,2020-01-13,0.0,0.0,10.07,-10.07
India,2020-01-14,0.0,0.0,3.83,-3.83
India,2020-01-15,0.0,0.0,-2.25,2.25
India,2020-01-16,0.0,0.0,-8.13,8.13
India,2020-01-17,0.0,0.0,-13.65,13.65
India,2020-01-18,0.0,0.0,-17.11,17.11
India,2020-01-19,0.0,0.0,16.42,-16.42
India,2020-01-20,0.0,0.0,10.07,-10.07
India,2020-01-21,0.0,0.0,3.83,-3.83
India,2020-01-22,0.0,0.0,-2.25,2.25
India,2020-01-23,0.0,0.0,-8.13,8.13
India,2020-01-24,0.0,0.0,-13.65,13.65
India,2020-01-25,0.0,0.0,-17.11,17.11
India,2020-01-26,0.0,0.02,16.42,-16.44
India,2020-01-27,0.0,0.04,10.07,-10.11
India,2020-01-28,0.0,0.06,3.83,-3.89
India,2020-01-29,0.0,0.08,-2.25,2.18
India,2020-01-30,0.0,0.1,-8.13,8.04
India,2020-01-31,0.0,0.12,-13.65,13.54
India,2020-02-01,0.0,0.14,-17.11,16.97
India,2020-02-02,0.29,0.18,16.42,-16.32
India,2020-02-03,0.29,0.23,10.07,-10.01
India,2020-02-04,0.29,0.28,3.83,-3.82
India,2020-02-05,0.29,0.32,-2.25,2.22
India,2020-02-06,0.29,0.37,-8.13,8.05
India,2020-02-07,0.29,0.42,-13.65,13.52
India,2020-02-08,0.29,0.47,-17.11,16.93
India,2020-02-09,0.71,0.47,16.42,-16.18
India,2020-02-10,0.71,0.45,10.07,-9.81
India,2020-02-11,0.71,0.43,3.83,-3.55
India,2020-02-12,0.71,0.41,-2.25,2.56
India,2020-02-13,0.71,0.39,-8.13,8.45
India,2020-02-14,0.71,0.37,-13.65,13.99
India,2020-02-15,0.71,0.35,-17.11,17.47
India,2020-02-16,0.0,0.33,16.42,-16.76
India,2020-02-17,0.0,0.28,10.07,-10.35
