country,date,actual,trend,seasonal,residual
South Korea,2020-01-10,0.0,0.0,-19.94,19.94
South Korea,2020-01-11,0.0,0.0,-30.51,30.51
South Korea,2020-01-12,0.0,0.01,30.67,-30.68
South Korea,2020-01-13,0.0,0.03,20.57,-20.6
South Korea,2020-01-14,0.0,0.04,10.46,-10.49
South Korea,2020-01-15,0.0,0.04,0.32,-0.36
South Korea,2020-01-16,0.0,0.05,-9.84,9.79
South Korea,2020-01-17,0.0,0.06,-19.94,19.88
South Korea,2020-01-18,0.0,0.07,-30.51,30.44
South Korea,2020-01-19,0.14,0.08,30.67,-30.61
South Korea,2020-01-20,0.14,0.1,20.57,-20.53
South Korea,2020-01-21,0.14,0.12,10.46,-10.44
South Korea,2020-01-22,0.14,0.14,0.32,-0.32
South Korea,2020-01-23,0.14,0.16,-9.84,9.82
South Korea,2020-01-24,0.14,0.18,-19.94,19.89
South Korea,2020-01-25,0.14,0.2,-30.51,30.45
South Korea,2020-01-26,0.29,0.31,30.67,-30.69
South Korea,2020-01-27,0.29,0.42,20.57,-20.7
South Korea,2020-01-28,0.29,0.52,10.46,-10.69
South Korea,2020-01-29,0.29,0.63,0.32,-0.66
South Korea,2020-01-30,0.29,0.73,-9.84,9.4
South Korea,2020-01-31,0.29,0.84,-19.94,19.39
South Korea,2020-02-01,0.29,0.94,-30.51,29.86
South Korea,2020-02-02,1.71,1.05,30.67,-30.01
South Korea,2020-02-03,1.71,1.14,20.57,-20.0
South Korea,2020-02-04,1.71,1.24,10.46,-9.98
South Korea,2020-02-05,1.71,1.33,0.32,0.06
South Korea,2020-02-06,1.71,1.43,-9.84,10.13
South Korea,2020-02-07,1.71,1.52,-19.94,20.12
South Korea,2020-02-08,1.71,1.62,-30.51,30.6
South Korea,2020-02-09,1.71,1.62,30.67,-30.58
South Korea,2020-02-10,1.71,1.54,20.57,-20.4
South Korea,2020-02-11,1.71,1.45,10.46,-10.2
South Korea,2020-02-12,1.71,1.37,0.32,0.02
South Korea,2020-02-13,1.71,1.28,-9.84,10.27
South Korea,2020-02-14,1.71,1.2,-19.94,20.45
South Korea,2020-02-15,1.71,1.11,-30.51,31.11
South Korea,2020-02-16,0.43,6.01,30.67,-36.25
South Korea,2020-02-17,0.43,10.9,20.57,-31.04
South Korea,2020-02-18,0.43,15.8,10.46,-25.83
South Korea,2020-02-19,0.43,20.69,0.32,-20.58
South Korea,2020-02-20,0.43,25.59,-9.84,-15.31
South Korea,2020-02-21,0.43,30.48,-19.94,-10.12
South Korea,2020-02-22,0.43,35.38,-30.51,-4.44
South Korea,2020-02-23,75.14,63.55,30.67,-19.08
South Korea,2020-02-24,75.14,91.81,20.57,-37.24
South Korea,2020-02-25,75.14,120.07,10.46,-55.38
South Korea,2020-02-26,75.14,148.32,0.32,-73.5
South Korea,2020-02-27,75.14,176.58,-9.84,-91.6
South Korea,2020-02-28,75.14,204.84,-19.94,-109.76
South Korea,2020-02-29,75.14,233.1,-30.51,-127.45
South Korea,2020-03-01,424.29,267.43,30.67,126.19
South Korea,2020-03-02,424.29,296.78,20.57,106.94
South Korea,2020-03-03,424.29,326.13,10.46,87.7
South Korea,2020-03-04,424.29,355.49,0.32,68.48
South Korea,2020-03-05,424.29,384.84,-9.84,49.29
South Korea,2020-03-06,424.29,414.19,-19.94,30.03
South Korea,2020-03-07,424.29,443.55,-30.51,11.25
South Korea,2020-03-08,515.43,448.33,30.67,36.43
South Korea,2020-03-09,515.43,429.83,20.57,65.03
South Korea,2020-03-10,515.43,411.34,10.46,93.64
