date,component,value
2020-01-10,actual,0.0
2020-01-10,trend,0.0
2020-01-10,seasonal,-20.08
2020-01-10,residual,20.08
2020-01-11,actual,0.0
2020-01-11,trend,0.0
2020-01-11,seasonal,-28.31
2020-01-11,residual,28.31
2020-01-12,actual,0.0
2020-01-12,trend,0.0
2020-01-12,seasonal,27.86
2020-01-12,residual,-27.86
2020-01-13,actual,0.0
2020-01-13,trend,0.0
2020-01-13,seasonal,18.05
2020-01-13,residual,-18.05
2020-01-14,actual,0.0
2020-01-14,trend,0.0
2020-01-14,seasonal,8.32
2020-01-14,residual,-8.32
2020-01-15,actual,0.0
2020-01-15,trend,0.0
2020-01-15,seasonal,-1.32
2020-01-15,residual,1.32
2020-01-16,actual,0.0
2020-01-16,trend,0.0
2020-01-16,seasonal,-10.84
2020-01-16,residual,10.84
2020-01-17,actual,0.0
2020-01-17,trend,0.0
2020-01-17,seasonal,-20.08
2020-01-17,residual,20.08
2020-01-18,actual,0.0
2020-01-18,trend,0.0
2020-01-18,seasonal,-28.31
2020-01-18,residual,28.31
2020-01-19,actual,0.0
2020-01-19,trend,0.07
2020-01-19,seasonal,27.86
2020-01-19,residual,-27.92
2020-01-20,actual,0.0
2020-01-20,trend,0.13
2020-01-20,seasonal,18.05
2020-01-20,residual,-18.19
2020-01-21,actual,0.0
2020-01-21,trend,0.2
2020-01-21,seasonal,8.32
2020-01-21,residual,-8.52
2020-01-22,actual,0.0
2020-01-22,trend,0.27
2020-01-22,seasonal,-1.32
2020-01-22,residual,1.05
2020-01-23,actual,0.0
2020-01-23,trend,0.33
2020-01-23,seasonal,-10.84
2020-01-23,residual,10.51
2020-01-24,actual,0.0
2020-01-24,trend,0.4
2020-01-24,seasonal,-20.08
2020-01-24,residual,19.68
2020-01-25,actual,0.0
2020-01-25,trend,0.47
2020-01-25,seasonal,-28.31
2020-01-25,residual,27.84
2020-01-26,actual,1.0
2020-01-26,trend,0.49
2020-01-26,seasonal,27.86
2020-01-26,residual,-27.34
2020-01-27,actual,1.0
2020-01-27,trend,0.51
2020-01-27,seasonal,18.05
2020-01-27,residual,-17.56
2020-01-28,actual,1.0
2020-01-28,trend,0.52
2020-01-28,seasonal,8.32
2020-01-28,residual,-7.85
2020-01-29,actual,1.0
2020-01-29,trend,0.54
2020-01-29,seasonal,-1.32
2020-01-29,residual,1.78
2020-01-30,actual,1.0
2020-01-30,trend,0.56
2020-01-30,seasonal,-10.84
2020-01-30,residual,11.28
2020-01-31,actual,1.0
2020-01-31,trend,0.58
2020-01-31,seasonal,-20.08
2020-01-31,residual,20.5
2020-02-01,actual,1.0
2020-02-01,trend,0.6
2020-02-01,seasonal,-28.31
2020-02-01,residual,28.7
2020-02-02,actual,0.29
2020-02-02,trend,0.71
2020-02-02,seasonal,27.86
2020-02-02,residual,-28.27
2020-02-03,actual,0.29
