country,date,actual,trend,seasonal,residual
United Kingdom,2020-01-10,0.0,0.0,-2.64,2.64
United Kingdom,2020-01-11,0.0,0.0,-3.77,3.77
United Kingdom,2020-01-12,0.0,0.0,3.72,-3.72
United Kingdom,2020-01-13,0.0,0.0,2.42,-2.42
United Kingdom,2020-01-14,0.0,0.0,1.13,-1.13
United Kingdom,2020-01-15,0.0,0.0,-0.15,0.15
United Kingdom,2020-01-16,0.0,0.0,-1.41,1.41
United Kingdom,2020-01-17,0.0,0.0,-2.64,2.64
United Kingdom,2020-01-18,0.0,0.0,-3.77,3.77
United Kingdom,2020-01-19,0.0,0.0,3.72,-3.72
United Kingdom,2020-01-20,0.0,0.0,2.42,-2.42
United Kingdom,2020-01-21,0.0,0.0,1.13,-1.13
United Kingdom,2020-01-22,0.0,0.0,-0.15,0.15
United Kingdom,2020-01-23,0.0,0.0,-1.41,1.41
United Kingdom,2020-01-24,0.0,0.0,-2.64,2.64
United Kingdom,2020-01-25,0.0,0.0,-3.77,3.77
United Kingdom,2020-01-26,0.0,0.01,3.72,-3.73
United Kingdom,2020-01-27,0.0,0.02,2.42,-2.44
United Kingdom,2020-01-28,0.0,0.03,1.13,-1.16
United Kingdom,2020-01-29,0.0,0.04,-0.15,0.11
United Kingdom,2020-01-30,0.0,0.05,-1.41,1.37
United Kingdom,2020-01-31,0.0,0.06,-2.64,2.59
United Kingdom,2020-02-01,0.0,0.07,-3.77,3.71
United Kingdom,2020-02-02,0.14,0.26,3.72,-3.83
United Kingdom,2020-02-03,0.14,0.45,2.42,-2.73
United Kingdom,2020-02-04,0.14,0.64,1.13,-1.63
United Kingdom,2020-02-05,0.14,0.83,-0.15,-0.54
United Kingdom,2020-02-06,0.14,1.02,-1.41,0.53
United Kingdom,2020-02-07,0.14,1.21,-2.64,1.57
United Kingdom,2020-02-08,0.14,1.4,-3.77,2.51
United Kingdom,2020-02-09,2.86,1.5,3.72,-2.36
United Kingdom,2020-02-10,2.86,1.6,2.42,-1.16
United Kingdom,2020-02-11,2.86,1.7,1.13,0.03
United Kingdom,2020-02-12,2.86,1.79,-0.15,1.22
United Kingdom,2020-02-13,2.86,1.89,-1.41,2.39
United Kingdom,2020-02-14,2.86,1.98,-2.64,3.52
United Kingdom,2020-02-15,2.86,2.08,-3.77,4.56
United Kingdom,2020-02-16,1.57,2.1,3.72,-4.24
United Kingdom,2020-02-17,1.57,1.93,2.42,-2.78
United Kingdom,2020-02-18,1.57,1.77,1.13,-1.33
United Kingdom,2020-02-19,1.57,1.61,-0.15,0.11
United Kingdom,2020-02-20,1.57,1.45,-1.41,1.53
United Kingdom,2020-02-21,1.57,1.29,-2.64,2.93
United Kingdom,2020-02-22,1.57,1.12,-3.77,4.22
United Kingdom,2020-02-23,0.43,1.25,3.72,-4.53
United Kingdom,2020-02-24,0.43,1.46,2.42,-3.45
United Kingdom,2020-02-25,0.43,1.67,1.13,-2.37
United Kingdom,2020-02-26,0.43,1.88,-0.15,-1.3
United Kingdom,2020-02-27,0.43,2.08,-1.41,-0.24
United Kingdom,2020-02-28,0.43,2.29,-2.64,0.78
United Kingdom,2020-02-29,0.43,2.5,-3.77,1.7
United Kingdom,2020-03-01,4.71,5.36,3.72,-4.37
United Kingdom,2020-03-02,4.71,8.29,2.42,-6.0
United Kingdom,2020-03-03,4.71,11.23,1.13,-7.65
United Kingdom,2020-03-04,4.71,14.16,-0.15,-9.3
United Kingdom,2020-03-05,4.71,17.09,-1.41,-10.97
United Kingdom,2020-03-06,4.71,20.03,-2.64,-12.67
United Kingdom,2020-03-07,4.71,22.96,-3.77,-14.48
United Kingdom,2020-03-08,44.43,41.04,3.72,-0.32
United Kingdom,2020-03-09,44.43,58.83,2.42,-16.82
United Kingdom,2020-03-10,44.43,76.62,1.13,-33.32
United Kingdom,2020-03-11,44.43,94.41,-0.15,-49.83
United Kingdom,2020-03-12,44.43,112.2,-1.41,-66.36
United Kingdom,2020-03-13,44.43,129.99,-2.64,-82.92
United Kingdom,2020-03-14,44.43,147.78,-3.77,-99.58
United Kingdom,2020-03-15,271.57,199.42,3.72,68.43
United Kingdom,2020-03-16,271.57,248.41,2.42,20.74
United Kingdom,2020-03-17,271.57,297.4,1.13,-26.96
United Kingdom,2020-03-18,271.57,346.39,-0.15,-74.67
United Kingdom,2020-03-19,271.57,395.38,-1.41,-122.4
