country,date,actual,trend,seasonal,residual
United States,2020-01-10,0.0,0.0,-20.08,20.08
United States,2020-01-11,0.0,0.0,-28.31,28.31
United States,2020-01-12,0.0,0.0,27.86,-27.86
United States,2020-01-13,0.0,0.0,18.05,-18.05
United States,2020-01-14,0.0,0.0,8.32,-8.32
United States,2020-01-15,0.0,0.0,-1.32,1.32
United States,2020-01-16,0.0,0.0,-10.84,10.84
United States,2020-01-17,0.0,0.0,-20.08,20.08
United States,2020-01-18,0.0,0.0,-28.31,28.31
United States,2020-01-19,0.0,0.07,27.86,-27.92
United States,2020-01-20,0.0,0.13,18.05,-18.19
United States,2020-01-21,0.0,0.2,8.32,-8.52
United States,2020-01-22,0.0,0.27,-1.32,1.05
United States,2020-01-23,0.0,0.33,-10.84,10.51
United States,2020-01-24,0.0,0.4,-20.08,19.68
United States,2020-01-25,0.0,0.47,-28.31,27.84
United States,2020-01-26,1.0,0.49,27.86,-27.34
United States,2020-01-27,1.0,0.51,18.05,-17.56
United States,2020-01-28,1.0,0.52,8.32,-7.85
United States,2020-01-29,1.0,0.54,-1.32,1.78
United States,2020-01-30,1.0,0.56,-10.84,11.28
United States,2020-01-31,1.0,0.58,-20.08,20.5
United States,2020-02-01,1.0,0.6,-28.31,28.7
United States,2020-02-02,0.29,0.71,27.86,-28.27
United States,2020-02-03,0.29,0.74,18.05,-18.51
United States,2020-02-04,0.29,0.78,8.32,-8.82
United States,2020-02-05,0.29,0.82,-1.32,0.79
United States,2020-02-06,0.29,0.86,-10.84,10.27
United States,2020-02-07,0.29,0.9,-20.08,19.48
United States,2020-02-08,0.29,0.93,-28.31,27.66
United States,2020-02-09,1.57,0.91,27.86,-27.19
United States,2020-02-10,1.57,0.92,18.05,-17.41
United States,2020-02-11,1.57,0.94,8.32,-7.7
United States,2020-02-12,1.57,0.96,-1.32,1.93
United States,2020-02-13,1.57,0.98,-10.84,11.43
United States,2020-02-14,1.57,1.0,-20.08,20.65
United States,2020-02-15,1.57,1.02,-28.31,28.86
United States,2020-02-16,0.57,1.15,27.86,-28.44
United States,2020-02-17,0.57,1.2,18.05,-18.68
United States,2020-02-18,0.57,1.25,8.32,-9.0
United States,2020-02-19,0.57,1.3,-1.32,0.59
United States,2020-02-20,0.57,1.34,-10.84,10.07
United States,2020-02-21,0.57,1.39,-20.08,19.26
United States,2020-02-22,0.57,1.44,-28.31,27.44
United States,2020-02-23,2.29,1.65,27.86,-27.21
United States,2020-02-24,2.29,1.92,18.05,-17.69
United States,2020-02-25,2.29,2.2,8.32,-8.23
United States,2020-02-26,2.29,2.48,-1.32,1.13
United States,2020-02-27,2.29,2.75,-10.84,10.38
United States,2020-02-28,2.29,3.03,-20.08,19.34
United States,2020-02-29,2.29,3.3,-28.31,27.29
United States,2020-03-01,4.71,6.99,27.86,-30.14
United States,2020-03-02,4.71,10.56,18.05,-23.91
United States,2020-03-03,4.71,14.13,8.32,-17.75
United States,2020-03-04,4.71,17.7,-1.32,-11.68
United States,2020-03-05,4.71,21.28,-10.84,-5.72
United States,2020-03-06,4.71,24.85,-20.08,-0.05
United States,2020-03-07,4.71,28.42,-28.31,4.6
United States,2020-03-08,55.86,61.27,27.86,-33.26
United States,2020-03-09,55.86,93.95,18.05,-56.15
United States,2020-03-10,55.86,126.64,8.32,-79.1
United States,2020-03-11,55.86,159.32,-1.32,-102.14
United States,2020-03-12,55.86,192.01,-10.84,-125.31
United States,2020-03-13,55.86,224.7,-20.08,-148.75
United States,2020-03-14,55.86,257.38,-28.31,-173.22
United States,2020-03-15,495.0,518.84,27.86,-51.7
United States,2020-03-16,495.0,776.89,18.05,-299.94
United States,2020-03-17,495.0,1034.93,8.32,-548.26
United States,2020-03-18,495.0,1292.98,-1.32,-796.66
United States,2020-03-19,495.0,1551.03,-10.84,-1045.19
United States,2020-03-20,495.0,1809.08,-20.08,-1293.99
United States,2020-03-21,495.0,2067.12,-28.31,-1543.82
United States,2020-03-22,3926.57,2967.15,27.86,931.56
United States,2020-03-23,3926.57,3837.9,18.05,70.61
United States,2020-03-24,3926.57,4708.66,8.32,-790.41
United States,2020-03-25,3926.57,5579.41,-1.32,-1651.52
United States,2020-03-26,3926.57,6450.16,-10.84,-2512.75
United States,2020-03-27,3926.57,7320.92,-20.08,-3374.26
United States,2020-03-28,3926.57,8191.67,-28.31,-4236.79
United States,2020-03-29,13556.29,9836.3,27.86,3692.14
United States,2020-03-30,13556.29,11252.15,18.05,2286.08
United States,2020-03-31,13556.29,12668.01,8.32,879.96
