country,continent,date_25pct_fully_vax,pre_vax_cfr_pct,pre_vax_cases,pre_vax_deaths,post_vax_cases,post_vax_deaths_actual,post_vax_deaths_counterfactual,estimated_lives_saved,lives_saved_per_M
China,Asia,2021-08-12,4.649,121684,5657,99125697,115304,4608281,4492977,3151.0
Germany,Europe,2021-06-10,2.506,3698521,92690,34706736,81716,869798,788082,9452.8
United States,North America,2021-04-10,1.832,30382159,556585,72884245,567478,1335200,767722,2269.4
France,Europe,2021-06-21,2.077,5480043,113796,33362541,53162,692790,639628,9432.7
United Kingdom,Europe,2021-05-07,3.413,4501815,153627,20085584,73118,685431,612313,9070.0
Italy,Europe,2021-06-16,2.992,4243482,126976,21552027,62810,644892,582082,9859.1
Japan,Asia,2021-07-19,1.788,841537,15048,32872480,59494,587811,528317,4262.3
Brazil,South America,2021-08-20,2.795,20319000,567862,17130418,133632,478749,345117,1602.9
Mexico,North America,2021-08-26,7.944,3308944,262856,4283934,71178,340307,269129,2110.8
South Korea,Asia,2021-08-25,0.934,237778,2222,30933108,32265,289065,256800,4955.6
Australia,Oceania,2021-08-25,2.13,47521,1012,11218070,20329,238898,218569,8348.7
India,Asia,2021-11-11,1.341,34355536,460791,10589853,70742,142035,71293,50.3
Israel,Asia,2021-02-11,0.745,686613,5113,4135196,7386,30793,23407,2477.0
South Africa,Africa,2021-12-06,2.978,3020569,89965,1051964,12630,31331,18701,312.3
Sweden,Europe,2021-06-20,1.347,1084268,14602,1621851,9500,21841,12341,1169.8
