country,continent,week_start,new_cases,new_deaths,new_cases_per_M,new_deaths_per_M
Australia,Oceania,2019-12-30,0,0,0.0,0.0
Australia,Oceania,2020-01-06,0,0,0.0,0.0
Australia,Oceania,2020-01-13,0,0,0.0,0.0
Australia,Oceania,2020-01-20,4,0,0.15,0.0
Australia,Oceania,2020-01-27,8,0,0.31,0.0
Australia,Oceania,2020-02-03,3,0,0.11,0.0
Australia,Oceania,2020-02-10,0,0,0.0,0.0
Australia,Oceania,2020-02-17,7,0,0.27,0.0
Australia,Oceania,2020-02-24,3,0,0.11,0.0
Australia,Oceania,2020-03-02,45,4,1.72,0.153
Australia,Oceania,2020-03-09,179,3,6.84,0.115
Australia,Oceania,2020-03-16,832,2,31.78,0.076
Australia,Oceania,2020-03-23,2728,7,104.21,0.267
Australia,Oceania,2020-03-30,1826,20,69.75,0.764
Australia,Oceania,2020-04-06,654,25,24.98,0.955
Australia,Oceania,2020-04-13,297,12,11.35,0.458
Australia,Oceania,2020-04-20,117,12,4.47,0.458
Australia,Oceania,2020-04-27,80,14,3.06,0.535
Australia,Oceania,2020-05-04,146,2,5.58,0.076
Australia,Oceania,2020-05-11,107,2,4.09,0.076
Australia,Oceania,2020-05-18,70,4,2.67,0.153
Australia,Oceania,2020-05-25,79,0,3.02,0.0
Australia,Oceania,2020-06-01,70,0,2.67,0.0
Australia,Oceania,2020-06-08,47,0,1.8,0.0
Australia,Oceania,2020-06-15,134,0,5.12,0.0
Australia,Oceania,2020-06-22,205,1,7.83,0.038
Australia,Oceania,2020-06-29,721,1,27.54,0.038
Australia,Oceania,2020-07-06,1191,4,45.5,0.153
Australia,Oceania,2020-07-13,1888,16,72.12,0.611
Australia,Oceania,2020-07-20,2509,45,95.85,1.719
Australia,Oceania,2020-07-27,3332,95,127.29,3.629
Australia,Oceania,2020-08-03,3416,106,130.49,4.049
Australia,Oceania,2020-08-10,2337,138,89.28,5.272
Australia,Oceania,2020-08-17,1567,114,59.86,4.355
Australia,Oceania,2020-08-24,945,97,36.1,3.705
Australia,Oceania,2020-08-31,660,58,25.21,2.216
Australia,Oceania,2020-09-07,400,46,15.28,1.757
Australia,Oceania,2020-09-14,278,36,10.62,1.375
Australia,Oceania,2020-09-21,131,23,5.0,0.879
Australia,Oceania,2020-09-28,105,19,4.01,0.726
Australia,Oceania,2020-10-05,123,5,4.7,0.191
